Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Dragon_Spacecraft_Qualification_Unit"" title=""Dragon Spacecraft Qualification Unit"">Dragon Spacecraft Qualification Unit</a>
</td>",0,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Dragon_Spacecraft_Qualification_Unit"" title=""Dragon Spacecraft Qualification Unit"">Dragon Spacecraft Qualification Unit</a>
</td>",0,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_Dragon"" title=""SpaceX Dragon"">Dragon</a> <a class=""mw-redirect"" href=""/wiki/COTS_Demo_Flight_1"" title=""COTS Demo Flight 1"">demo flight C1</a><br/>(Dragon C101)
</td>",0,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)</li>
<li><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a></li></ul>
</div>
</td>",Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_Dragon"" title=""SpaceX Dragon"">Dragon</a> <a class=""mw-redirect"" href=""/wiki/Dragon_C2%2B"" title=""Dragon C2+"">demo flight C2+</a><sup class=""reference"" id=""cite_ref-C2_24-0""><a href=""#cite_note-C2-24"">[18]</a></sup><br/>(Dragon C102)
</td>",525 kg,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)
</td>",Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
2,"<td rowspan=""2""><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-1"" title=""SpaceX CRS-1"">SpaceX CRS-1</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-0""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C103)
</td>","4,700 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
3,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-2"" title=""SpaceX CRS-2"">SpaceX CRS-2</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-1""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C104)
</td>","4,877 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 v1.0B0005.1,Uncontrolled,22 May 2012,07:44
4,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a href=""/wiki/CASSIOPE"" title=""CASSIOPE"">CASSIOPE</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-2""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-CASSIOPE_MDA_37-0""><a href=""#cite_note-CASSIOPE_MDA-37"">[31]</a></sup>
</td>",500 kg,"<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar orbit</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>
</td>",Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SES-8"" title=""SES-8"">SES-8</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-3""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-spx-pr_42-0""><a href=""#cite_note-spx-pr-42"">[35]</a></sup><sup class=""reference"" id=""cite_ref-aw20110323_43-0""><a href=""#cite_note-aw20110323-43"">[36]</a></sup>
</td>","3,170 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10
6,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Thaicom_6"" title=""Thaicom 6"">Thaicom 6</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-4""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup>
</td>","3,325 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>",Success,F9 v1.1B1003,Controlled,29 September 2013,16:00
7,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-3"" title=""SpaceX CRS-3"">SpaceX CRS-3</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-5""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C105)
</td>","2,296 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
","<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a><br/>B1004
</td>",Controlled,3 December 2013,22:41
